t[s]	Bpos	Bspd	A[cm淫	Mma[鑑]	P1[mN/m]	P2[mN/m]	T[蚓]	SP[V]	pH	AD[V]
3393.27	112.426	-1.995	69.11	42.11	45.013	0.000	24.39		0.30	0.000
3403.35	112.481	1.995	69.03	42.06	44.926	0.000	24.38		0.30	0.000
3413.43	112.535	1.995	68.95	42.01	44.964	0.000	24.38		0.30	0.000
3423.50	112.562	-1.995	68.91	41.99	45.107	0.000	24.38		0.30	0.000
3433.56	112.525	-1.995	68.96	42.02	45.015	0.000	24.38		0.30	0.000
3443.64	112.563	1.995	68.90	41.99	44.902	0.000	24.38		0.30	0.000
3453.70	112.563	1.995	68.90	41.99	44.901	0.000	24.38		0.30	0.000
3463.76	112.647	-1.502	68.78	41.91	45.063	0.000	24.38		0.31	0.000
3473.80	112.594	0.313	68.86	41.96	44.980	0.000	24.38		0.31	0.000
3483.88	112.638	1.995	68.79	41.92	44.932	0.000	24.38		0.31	0.000
3493.95	112.675	1.995	68.74	41.89	44.961	0.000	24.38		0.31	0.000
3504.03	112.701	-1.995	68.70	41.86	45.074	0.000	24.38		0.31	0.000
3514.08	112.649	1.995	68.78	41.91	44.937	0.000	24.38		0.31	0.000
3524.16	112.708	1.995	68.69	41.86	44.982	0.000	24.38		0.31	0.000
3534.23	112.774	-1.995	68.59	41.80	45.168	0.000	24.38		0.31	0.000
3544.30	112.739	-1.995	68.64	41.83	45.092	0.000	24.38		0.31	0.000
3554.37	112.757	1.995	68.61	41.81	44.890	0.000	24.38		0.31	0.000
3564.43	112.806	0.481	68.54	41.77	45.025	0.000	24.38		0.31	0.000
3574.46	112.772	-1.995	68.59	41.80	45.019	0.000	24.39		0.31	0.000
3584.54	112.751	1.995	68.62	41.82	44.868	0.000	24.39		0.31	0.000
3594.60	112.853	1.995	68.47	41.72	45.038	0.000	24.39		0.31	0.000
3604.64	112.863	-1.995	68.45	41.71	45.207	0.000	24.39		0.31	0.000
3614.72	112.799	-1.995	68.55	41.77	44.924	0.000	24.39		0.31	0.000
3624.80	112.885	1.058	68.42	41.69	45.005	0.000	24.39		0.31	0.000
3634.83	112.881	-1.995	68.43	41.70	45.075	0.000	24.39		0.31	0.000
3644.91	112.856	1.719	68.47	41.72	44.919	0.000	24.39		0.31	0.000
3654.98	112.880	1.995	68.43	41.70	44.900	0.000	24.39		0.31	0.000
3665.05	112.937	-1.995	68.35	41.65	45.144	0.000	24.39		0.31	0.000
3675.12	112.915	1.142	68.38	41.67	44.981	0.000	24.39		0.31	0.000
3685.20	112.951	1.995	68.32	41.63	44.938	0.000	24.39		0.31	0.000
3695.25	112.979	-1.995	68.28	41.61	45.027	0.000	24.40		0.31	0.000
3705.33	112.910	-0.962	68.39	41.67	44.987	0.000	24.40		0.31	0.000
3715.40	112.975	1.995	68.29	41.61	44.951	0.000	24.40		0.31	0.000
3725.48	113.004	-1.995	68.24	41.59	45.182	0.000	24.40		0.31	0.000
3735.52	112.962	-1.995	68.31	41.62	45.012	0.000	24.40		0.31	0.000
3745.60	113.026	1.995	68.21	41.57	44.985	0.000	24.40		0.31	0.000
3755.66	113.052	-1.995	68.17	41.54	45.091	0.000	24.40		0.31	0.000
3765.72	113.008	-1.995	68.24	41.58	45.001	0.000	24.40		0.32	0.000
3775.80	113.045	1.995	68.18	41.55	44.925	0.000	24.40		0.32	0.000
3785.88	113.047	1.995	68.18	41.55	44.855	0.000	24.39		0.32	0.000
3795.92	113.145	-1.995	68.03	41.46	45.179	0.000	24.40		0.32	0.000
3805.99	113.102	-1.995	68.10	41.50	45.069	0.000	24.39		0.32	0.000
3816.06	113.088	1.995	68.12	41.51	44.868	0.000	24.39		0.32	0.000
3826.13	113.156	1.995	68.02	41.45	44.966	0.000	24.39		0.32	0.000
3836.20	113.199	-1.995	67.95	41.41	45.077	0.000	24.40		0.32	0.000
3846.27	113.136	-1.358	68.05	41.46	44.977	0.000	24.40		0.32	0.000
3856.35	113.129	1.995	68.06	41.47	44.936	0.000	24.40		0.32	0.000
3866.35	113.230	1.671	67.90	41.38	45.050	0.000	24.40		0.32	0.000
3876.42	113.239	-1.995	67.89	41.37	45.116	0.000	24.40		0.32	0.000
3886.50	113.203	-0.012	67.95	41.40	44.958	0.000	24.40		0.32	0.000
3896.55	113.286	1.995	67.82	41.33	45.028	0.000	24.39		0.32	0.000
3906.63	113.283	-1.995	67.83	41.33	45.087	0.000	24.39		0.32	0.000
3916.70	113.220	1.827	67.92	41.39	44.914	0.000	24.39		0.32	0.000
3926.76	113.299	1.995	67.80	41.32	44.892	0.000	24.38		0.32	0.000
3936.82	113.333	-1.995	67.75	41.29	45.028	0.000	24.38		0.32	0.000
3946.90	113.260	-0.349	67.86	41.35	44.946	0.000	24.38		0.32	0.000
3956.96	113.336	1.995	67.75	41.28	44.934	0.000	24.38		0.32	0.000
3967.03	113.383	1.995	67.68	41.24	45.018	0.000	24.39		0.32	0.000
3977.11	113.375	-1.995	67.69	41.25	45.086	0.000	24.39		0.32	0.000
3987.16	113.324	-0.180	67.76	41.29	44.927	0.000	24.39		0.32	0.000
3997.21	113.394	1.995	67.66	41.23	44.947	0.000	24.39		0.32	0.000
4007.29	113.434	-1.995	67.60	41.19	45.102	0.000	24.39		0.32	0.000
4017.37	113.379	-0.613	67.68	41.24	45.022	0.000	24.39		0.32	0.000
4027.44	113.372	1.995	67.69	41.25	44.917	0.000	24.39		0.32	0.000
4037.51	113.429	1.310	67.61	41.20	44.994	0.000	24.39		0.32	0.000
4047.57	113.406	-1.995	67.64	41.22	45.047	0.000	24.39		0.32	0.000
4057.65	113.344	-1.959	67.73	41.28	45.025	0.000	24.39		0.32	0.000
4067.71	113.436	-1.995	67.60	41.19	45.131	0.000	24.38		0.32	0.000
4077.79	113.388	-1.995	67.67	41.24	45.037	0.000	24.38		0.32	0.000
4087.85	113.397	1.995	67.65	41.23	44.884	0.000	24.39		0.32	0.000
4097.92	113.463	-1.995	67.55	41.17	45.091	0.000	24.39		0.32	0.000
4107.97	113.393	0.361	67.66	41.23	44.969	0.000	24.39		0.32	0.000
4118.03	113.445	1.707	67.58	41.18	45.008	0.000	24.38		0.32	0.000
4128.10	113.445	-1.995	67.58	41.18	45.086	0.000	24.38		0.32	0.000
4138.17	113.397	1.995	67.65	41.23	44.927	0.000	24.38		0.33	0.000
4148.24	113.485	-1.995	67.52	41.15	45.138	0.000	24.39		0.33	0.000
4158.32	113.436	-1.995	67.60	41.19	45.103	0.000	24.39		0.33	0.000
4168.37	113.384	1.995	67.67	41.24	44.922	0.000	24.39		0.33	0.000
4178.43	113.462	1.995	67.56	41.17	45.031	0.000	24.39		0.33	0.000
4188.50	113.454	-1.202	67.57	41.17	45.071	0.000	24.39		0.33	0.000
4198.57	113.426	0.589	67.61	41.20	44.962	0.000	24.39		0.33	0.000
4208.65	113.474	-0.505	67.54	41.16	45.039	0.000	24.39		0.33	0.000
4218.72	113.403	-1.995	67.65	41.22	44.979	0.000	24.40		0.33	0.000
4228.78	113.453	1.995	67.57	41.18	44.960	0.000	24.40		0.33	0.000
4238.86	113.457	-1.995	67.56	41.17	45.064	0.000	24.40		0.33	0.000
4248.94	113.404	1.995	67.64	41.22	44.894	0.000	24.40		0.33	0.000
4259.01	113.461	1.995	67.56	41.17	44.995	0.000	24.39		0.33	0.000
4269.07	113.408	-1.358	67.64	41.22	44.964	0.000	24.39		0.33	0.000
4279.15	113.461	1.995	67.56	41.17	44.931	0.000	24.39		0.33	0.000
4289.21	113.478	-1.995	67.53	41.15	45.070	0.000	24.39		0.33	0.000
4299.28	113.421	0.120	67.62	41.20	44.949	0.000	24.39		0.33	0.000
4309.35	113.497	-1.166	67.50	41.14	45.058	0.000	24.39		0.33	0.000
4319.43	113.430	-1.755	67.60	41.20	45.018	0.000	24.39		0.33	0.000
4329.50	113.463	1.995	67.55	41.17	44.944	0.000	24.39		0.33	0.000
4339.58	113.498	-1.995	67.50	41.13	45.136	0.000	24.39		0.33	0.000
4349.63	113.433	-0.385	67.60	41.19	44.935	0.000	24.39		0.33	0.000
4359.71	113.508	-1.178	67.49	41.13	45.094	0.000	24.38		0.33	0.000
4369.78	113.431	1.034	67.60	41.20	44.962	0.000	24.38		0.33	0.000
4379.85	113.494	1.851	67.51	41.14	44.991	0.000	24.38		0.33	0.000
4389.92	113.476	-1.995	67.54	41.15	45.020	0.000	24.38		0.33	0.000
4399.98	113.428	1.995	67.61	41.20	44.955	0.000	24.38		0.33	0.000
4410.06	113.501	-0.108	67.50	41.13	45.035	0.000	24.39		0.33	0.000
4420.14	113.438	-1.995	67.59	41.19	44.986	0.000	24.39		0.33	0.000
4430.21	113.484	1.995	67.52	41.15	44.868	0.000	24.39		0.33	0.000
4440.26	113.572	1.995	67.39	41.07	44.987	0.000	24.39		0.33	0.000
4450.34	113.599	-1.995	67.35	41.04	45.150	0.000	24.39		0.33	0.000
4460.40	113.565	-1.995	67.40	41.07	45.040	0.000	24.40		0.33	0.000
4470.46	113.542	1.995	67.44	41.09	44.882	0.000	24.40		0.33	0.000
4480.54	113.621	1.995	67.32	41.02	44.915	0.000	24.40		0.33	0.000
4490.61	113.658	-1.995	67.26	40.99	45.188	0.000	24.39		0.33	0.000
4500.69	113.638	-1.995	67.29	41.01	45.002	0.000	24.39		0.33	0.000
4510.76	113.656	1.995	67.27	40.99	44.907	0.000	24.39		0.33	0.000
4520.83	113.708	1.995	67.19	40.94	44.953	0.000	24.40		0.33	0.000
4530.89	113.716	-1.995	67.18	40.94	45.059	0.000	24.40		0.33	0.000
4540.96	113.684	1.995	67.22	40.96	44.920	0.000	24.40		0.33	0.000
4551.03	113.786	1.995	67.07	40.87	44.928	0.000	24.40		0.33	0.000
4561.11	113.801	1.394	67.05	40.86	45.054	0.000	24.41		0.33	0.000
4571.16	113.783	-1.995	67.08	40.87	45.068	0.000	24.40		0.33	0.000
4581.23	113.761	1.995	67.11	40.89	44.885	0.000	24.41		0.34	0.000
4591.29	113.834	1.995	67.00	40.83	44.964	0.000	24.41		0.34	0.000
4601.36	113.860	1.298	66.96	40.80	45.036	0.000	24.41		0.34	0.000
4611.42	113.849	-1.995	66.98	40.81	45.048	0.000	24.41		0.34	0.000
4621.49	113.802	1.995	67.05	40.86	44.891	0.000	24.41		0.34	0.000
4631.56	113.913	1.995	66.88	40.75	45.015	0.000	24.41		0.34	0.000
4641.63	113.924	-1.995	66.86	40.75	45.102	0.000	24.41		0.34	0.000
4651.69	113.851	-1.947	66.97	40.81	44.949	0.000	24.41		0.34	0.000
4661.76	113.957	-1.995	66.81	40.71	45.067	0.000	24.41		0.34	0.000
4671.83	113.924	-1.995	66.86	40.75	45.069	0.000	24.41		0.34	0.000
4681.90	113.903	1.995	66.90	40.76	44.889	0.000	24.41		0.34	0.000
4691.98	113.979	-1.995	66.78	40.70	45.132	0.000	24.40		0.34	0.000
4702.03	113.935	1.310	66.85	40.73	44.958	0.000	24.40		0.34	0.000
4712.09	113.961	1.995	66.81	40.71	44.941	0.000	24.40		0.34	0.000
4722.17	114.019	-1.995	66.72	40.66	45.154	0.000	24.39		0.34	0.000
4732.25	113.957	1.995	66.81	40.71	44.878	0.000	24.39		0.34	0.000
4742.31	114.002	1.995	66.75	40.67	44.936	0.000	24.38		0.34	0.000
4752.38	114.062	-1.118	66.66	40.62	45.071	0.000	24.38		0.34	0.000
4762.45	113.997	-1.995	66.75	40.68	44.988	0.000	24.39		0.34	0.000
4772.47	114.003	1.995	66.75	40.67	44.899	0.000	24.39		0.34	0.000
4782.55	114.084	0.409	66.62	40.60	45.053	0.000	24.39		0.34	0.000
4792.61	114.076	-1.995	66.64	40.61	45.085	0.000	24.39		0.34	0.000
4802.69	114.083	1.995	66.63	40.60	44.957	0.000	24.39		0.34	0.000
4812.76	114.108	-1.995	66.59	40.58	45.081	0.000	24.39		0.34	0.000
4822.83	114.061	-1.863	66.66	40.62	44.992	0.000	24.39		0.34	0.000
4832.88	114.133	1.995	66.55	40.55	45.004	0.000	24.39		0.34	0.000
4842.95	114.134	-1.995	66.55	40.55	45.133	0.000	24.39		0.34	0.000
4853.03	114.099	1.995	66.60	40.58	44.936	0.000	24.38		0.34	0.000
4863.11	114.189	0.553	66.47	40.50	45.066	0.000	24.39		0.34	0.000
4873.17	114.147	-1.995	66.53	40.54	45.078	0.000	24.38		0.34	0.000
4883.23	114.140	1.995	66.54	40.55	44.857	0.000	24.38		0.34	0.000
4893.31	114.213	1.995	66.43	40.48	45.038	0.000	24.38		0.34	0.000
4903.38	114.204	-1.995	66.44	40.49	45.142	0.000	24.37		0.34	0.000
4913.45	114.171	0.481	66.49	40.52	44.957	0.000	24.37		0.34	0.000
4923.52	114.230	1.995	66.40	40.47	44.944	0.000	24.38		0.34	0.000
4933.59	114.272	-1.502	66.34	40.43	45.068	0.000	24.38		0.34	0.000
4943.66	114.221	-1.995	66.42	40.47	45.095	0.000	24.38		0.34	0.000
4953.73	114.215	1.995	66.43	40.48	44.884	0.000	24.39		0.34	0.000
4963.79	114.306	1.995	66.29	40.40	44.971	0.000	24.39		0.34	0.000
4973.86	114.299	-0.240	66.30	40.40	45.002	0.000	24.39		0.34	0.000
4983.94	114.235	-1.166	66.40	40.46	44.995	0.000	24.40		0.34	0.000
4994.01	114.316	1.995	66.28	40.39	44.894	0.000	24.40		0.34	0.000
5004.09	114.352	1.995	66.22	40.35	45.032	0.000	24.41		0.34	0.000
5014.15	114.320	-1.995	66.27	40.38	45.018	0.000	24.40		0.34	0.000
5024.23	114.327	1.995	66.26	40.38	44.838	0.000	24.40		0.34	0.000
5034.29	114.380	1.995	66.18	40.33	44.970	0.000	24.39		0.34	0.000
5044.33	114.399	-1.995	66.15	40.31	45.194	0.000	24.39		0.34	0.000
5054.39	114.366	-1.995	66.20	40.34	45.002	0.000	24.40		0.34	0.000
5064.45	114.377	1.995	66.18	40.33	44.872	0.000	24.40		0.34	0.000
5074.47	114.451	1.731	66.07	40.26	45.046	0.000	24.39		0.34	0.000
5084.53	114.442	-1.995	66.09	40.27	45.120	0.000	24.39		0.34	0.000
5094.60	114.403	1.995	66.15	40.31	44.956	0.000	24.39		0.34	0.000
5104.66	114.493	-0.721	66.01	40.23	45.110	0.000	24.39		0.35	0.000
5114.71	114.442	-1.995	66.09	40.27	45.088	0.000	24.39		0.35	0.000
5124.79	114.431	1.995	66.10	40.28	44.880	0.000	24.39		0.35	0.000
5134.87	114.476	1.995	66.04	40.24	44.959	0.000	24.39		0.35	0.000
5144.95	114.510	-1.995	65.99	40.21	45.130	0.000	24.39		0.35	0.000
5155.02	114.451	1.995	66.07	40.26	44.875	0.000	24.39		0.35	0.000
5165.10	114.549	1.995	65.93	40.17	45.016	0.000	24.39		0.35	0.000
5175.16	114.553	-1.995	65.92	40.17	45.099	0.000	24.39		0.35	0.000
5185.23	114.516	1.911	65.98	40.20	44.973	0.000	24.39		0.35	0.000
5195.30	114.574	1.370	65.89	40.15	45.021	0.000	24.39		0.35	0.000
5205.38	114.558	-1.995	65.91	40.17	45.081	0.000	24.39		0.35	0.000
5215.45	114.524	0.745	65.96	40.20	44.963	0.000	24.39		0.35	0.000
5225.52	114.590	1.995	65.86	40.14	44.938	0.000	24.39		0.35	0.000
5235.59	114.589	-1.995	65.87	40.14	45.100	0.000	24.39		0.35	0.000
5245.67	114.560	-0.757	65.91	40.16	44.969	0.000	24.39		0.35	0.000
5255.74	114.608	1.995	65.84	40.12	44.941	0.000	24.38		0.35	0.000
5265.81	114.636	-1.995	65.80	40.09	45.163	0.000	24.38		0.35	0.000
5275.87	114.590	-1.995	65.86	40.14	45.003	0.000	24.38		0.35	0.000
5285.94	114.580	1.995	65.88	40.15	44.899	0.000	24.38		0.35	0.000
5296.02	114.657	-1.707	65.76	40.08	45.099	0.000	24.39		0.35	0.000
5306.09	114.586	-1.995	65.87	40.14	45.012	0.000	24.39		0.35	0.000
5316.15	114.604	1.995	65.84	40.12	44.872	0.000	24.39		0.35	0.000
5326.21	114.684	-1.370	65.72	40.05	45.131	0.000	24.39		0.35	0.000
5336.29	114.645	-1.995	65.78	40.09	45.131	0.000	24.39		0.35	0.000
5346.37	114.617	1.995	65.82	40.11	44.857	0.000	24.39		0.35	0.000
5356.42	114.710	-0.445	65.69	40.03	45.068	0.000	24.39		0.35	0.000
5366.47	114.639	-1.995	65.79	40.09	44.978	0.000	24.39		0.35	0.000
5376.53	114.681	1.995	65.73	40.05	44.883	0.000	24.39		0.35	0.000
5386.60	114.731	-1.995	65.65	40.01	45.104	0.000	24.39		0.35	0.000
5396.65	114.675	1.046	65.74	40.06	44.978	0.000	24.39		0.35	0.000
5406.71	114.694	1.995	65.71	40.04	44.910	0.000	24.39		0.35	0.000
5416.77	114.729	-1.995	65.66	40.01	45.098	0.000	24.40		0.35	0.000
5426.83	114.707	0.216	65.69	40.03	44.971	0.000	24.40		0.35	0.000
5436.90	114.772	-1.995	65.59	39.97	45.059	0.000	24.40		0.35	0.000
5446.97	114.707	-1.995	65.69	40.03	45.005	0.000	24.40		0.35	0.000
5457.01	114.729	1.995	65.66	40.01	44.920	0.000	24.40		0.35	0.000
5467.09	114.790	-1.995	65.56	39.95	45.123	0.000	24.39		0.35	0.000
5477.15	114.715	-1.971	65.68	40.02	45.001	0.000	24.39		0.35	0.000
5487.23	114.768	1.995	65.60	39.97	44.947	0.000	24.39		0.35	0.000
5497.29	114.801	-1.995	65.55	39.94	45.203	0.000	24.40		0.35	0.000
5507.37	114.739	-1.995	65.64	40.00	44.934	0.000	24.40		0.35	0.000
5517.42	114.813	1.995	65.53	39.93	45.014	0.000	24.39		0.35	0.000
5527.49	114.776	-1.995	65.59	39.97	45.063	0.000	24.39		0.35	0.000
5537.57	114.748	1.995	65.63	39.99	44.911	0.000	24.39		0.35	0.000
5547.64	114.827	-1.779	65.51	39.92	45.058	0.000	24.39		0.35	0.000
5557.71	114.753	-0.805	65.62	39.99	44.981	0.000	24.39		0.35	0.000
5567.79	114.808	1.995	65.54	39.94	44.992	0.000	24.39		0.35	0.000
5577.85	114.788	-1.995	65.57	39.96	45.054	0.000	24.39		0.35	0.000
5587.91	114.785	1.995	65.57	39.96	44.933	0.000	24.39		0.35	0.000
5597.97	114.829	-1.995	65.51	39.92	45.111	0.000	24.39		0.35	0.000
5608.05	114.776	0.673	65.59	39.97	44.936	0.000	24.39		0.35	0.000
5618.12	114.840	1.935	65.49	39.91	45.039	0.000	24.39		0.35	0.000
5628.18	114.789	-1.995	65.57	39.95	44.985	0.000	24.39		0.35	0.000
5638.26	114.829	1.995	65.51	39.92	44.983	0.000	24.39		0.35	0.000
5648.33	114.788	-1.995	65.57	39.96	45.003	0.000	24.38		0.35	0.000
5658.39	114.827	1.995	65.51	39.92	44.948	0.000	24.37		0.35	0.000
5668.44	114.834	-1.995	65.50	39.91	45.037	0.000	24.37		0.35	0.000
5678.50	114.792	1.106	65.56	39.95	44.930	0.000	24.37		0.35	0.000
5688.58	114.875	-0.781	65.44	39.88	45.079	0.000	24.37		0.35	0.000
5698.65	114.820	-1.995	65.52	39.93	45.021	0.000	24.38		0.35	0.000
5708.72	114.833	1.995	65.50	39.91	44.857	0.000	24.38		0.35	0.000
5718.76	114.857	-1.238	65.46	39.89	45.023	0.000	24.38		0.35	0.000
5728.84	114.829	1.671	65.51	39.92	44.949	0.000	24.38		0.35	0.000
5738.92	114.915	-1.995	65.38	39.84	45.124	0.000	24.39		0.35	0.000
5749.00	114.843	-1.995	65.49	39.91	45.000	0.000	24.39		0.35	0.000
5759.06	114.895	1.995	65.41	39.86	44.990	0.000	24.38		0.35	0.000
5769.12	114.918	-1.995	65.37	39.84	45.092	0.000	24.39		0.35	0.000
5779.18	114.870	1.995	65.45	39.88	44.988	0.000	24.39		0.35	0.000
5789.26	114.942	-1.466	65.34	39.81	45.078	0.000	24.39		0.35	0.000
5799.33	114.868	0.998	65.45	39.88	44.903	0.000	24.39		0.35	0.000
5809.40	114.957	-1.250	65.31	39.80	45.066	0.000	24.40		0.35	0.000
5819.48	114.884	-1.863	65.42	39.87	44.945	0.000	24.40		0.35	0.000
5829.55	114.898	1.995	65.40	39.85	44.843	0.000	24.39		0.35	0.000
5839.61	114.948	-1.995	65.33	39.81	45.093	0.000	24.39		0.35	0.000
5849.68	114.898	1.995	65.40	39.85	44.974	0.000	24.40		0.35	0.000
5859.75	114.974	-1.995	65.29	39.79	45.054	0.000	24.40		0.35	0.000
5869.83	114.899	0.673	65.40	39.85	44.939	0.000	24.40		0.35	0.000
5879.89	114.954	1.995	65.32	39.80	44.942	0.000	24.40		0.35	0.000
5889.97	114.954	-1.995	65.32	39.80	45.059	0.000	24.40		0.35	0.000
5900.03	114.934	1.887	65.35	39.82	44.945	0.000	24.41		0.35	0.000
5910.09	114.975	-1.995	65.29	39.78	45.080	0.000	24.41		0.36	0.000
5920.17	114.925	1.995	65.36	39.83	44.871	0.000	24.41		0.36	0.000
5930.24	115.008	-0.553	65.24	39.75	45.091	0.000	24.41		0.36	0.000
5940.32	114.942	-1.995	65.34	39.81	45.051	0.000	24.41		0.36	0.000
5950.36	114.920	1.995	65.37	39.83	44.910	0.000	24.41		0.36	0.000
5960.41	115.016	-1.971	65.23	39.75	45.042	0.000	24.41		0.36	0.000
5970.46	114.967	0.096	65.30	39.79	44.990	0.000	24.41		0.36	0.000
5980.52	115.020	1.995	65.22	39.74	45.008	0.000	24.41		0.36	0.000
5990.57	114.998	-1.995	65.25	39.76	45.094	0.000	24.41		0.36	0.000
6000.64	114.949	1.995	65.33	39.81	44.856	0.000	24.40		0.36	0.000
6010.70	115.045	1.430	65.18	39.72	45.056	0.000	24.40		0.36	0.000
6020.76	114.990	-1.995	65.26	39.77	44.967	0.000	24.39		0.36	0.000
6030.81	115.052	1.995	65.17	39.71	44.977	0.000	24.39		0.36	0.000
6040.88	115.053	-1.995	65.17	39.71	45.098	0.000	24.39		0.36	0.000
6050.94	115.008	1.995	65.24	39.75	44.948	0.000	24.39		0.36	0.000
6061.01	115.049	1.995	65.18	39.72	44.982	0.000	24.39		0.36	0.000
6071.07	115.063	-1.995	65.15	39.70	45.104	0.000	24.39		0.36	0.000
6081.12	115.004	1.767	65.24	39.76	44.944	0.000	24.39		0.36	0.000
6091.20	115.072	-1.995	65.14	39.70	45.039	0.000	24.39		0.36	0.000
6101.27	115.012	-1.070	65.23	39.75	44.970	0.000	24.39		0.36	0.000
6111.35	115.049	1.995	65.18	39.72	44.923	0.000	24.39		0.36	0.000
6121.41	115.081	-1.995	65.13	39.69	45.109	0.000	24.39		0.36	0.000
6131.47	115.025	0.469	65.21	39.74	44.925	0.000	24.39		0.36	0.000
6141.55	115.104	1.995	65.09	39.67	44.943	0.000	24.39		0.36	0.000
6151.62	115.142	-0.361	65.04	39.63	45.010	0.000	24.39		0.36	0.000
6161.70	115.089	-1.995	65.12	39.68	45.070	0.000	24.39		0.36	0.000
6171.76	115.116	1.995	65.08	39.66	44.969	0.000	24.39		0.36	0.000
6181.84	115.176	1.995	64.99	39.60	45.001	0.000	24.38		0.36	0.000
6191.89	115.167	-1.995	65.00	39.61	45.063	0.000	24.38		0.36	0.000
6201.97	115.135	1.995	65.05	39.64	44.879	0.000	24.38		0.36	0.000
6212.04	115.235	-1.995	64.90	39.55	45.206	0.000	24.39		0.36	0.000
6222.10	115.188	-1.995	64.97	39.59	45.097	0.000	24.39		0.36	0.000
6232.17	115.194	1.995	64.96	39.58	44.902	0.000	24.39		0.36	0.000
6242.25	115.252	-1.430	64.87	39.53	45.115	0.000	24.39		0.36	0.000
6252.32	115.213	-1.995	64.93	39.57	45.085	0.000	24.39		0.36	0.000
6262.37	115.209	1.995	64.94	39.57	44.847	0.000	24.39		0.36	0.000
6272.40	115.293	-1.995	64.81	39.49	45.151	0.000	24.40		0.36	0.000
6282.46	115.247	-1.995	64.88	39.54	45.087	0.000	24.40		0.36	0.000
6292.53	115.235	1.995	64.90	39.55	44.872	0.000	24.40		0.36	0.000
6302.57	115.302	-1.995	64.80	39.49	45.022	0.000	24.40		0.36	0.000
6312.64	115.254	0.962	64.87	39.53	44.944	0.000	24.40		0.36	0.000
6322.72	115.333	-1.166	64.75	39.46	45.075	0.000	24.40		0.36	0.000
6332.77	115.283	-1.995	64.83	39.50	45.049	0.000	24.41		0.36	0.000
6342.85	115.288	1.995	64.82	39.50	44.916	0.000	24.41		0.36	0.000
6352.91	115.353	1.995	64.72	39.44	44.981	0.000	24.42		0.36	0.000
6362.97	115.361	-1.995	64.71	39.43	45.084	0.000	24.41		0.36	0.000
6373.03	115.320	1.995	64.77	39.47	44.965	0.000	24.42		0.36	0.000
6383.11	115.399	1.707	64.65	39.40	45.010	0.000	24.41		0.36	0.000
6393.17	115.395	-1.358	64.66	39.40	45.044	0.000	24.41		0.36	0.000
6403.25	115.345	0.228	64.73	39.45	45.009	0.000	24.40		0.36	0.000
6413.32	115.403	1.995	64.65	39.39	44.976	0.000	24.38		0.36	0.000
6423.40	115.447	-1.995	64.58	39.35	45.082	0.000	24.38		0.36	0.000
6433.44	115.371	0.709	64.69	39.42	44.951	0.000	24.39		0.36	0.000
6443.52	115.422	1.995	64.62	39.38	44.894	0.000	24.39		0.36	0.000
6453.60	115.471	-1.995	64.54	39.33	45.121	0.000	24.39		0.36	0.000
6463.67	115.421	-1.442	64.62	39.38	45.015	0.000	24.39		0.36	0.000
6473.72	115.440	1.995	64.59	39.36	44.874	0.000	24.40		0.36	0.000
6483.78	115.520	-0.337	64.47	39.29	45.089	0.000	24.39		0.36	0.000
6493.84	115.518	0.108	64.47	39.29	45.003	0.000	24.38		0.36	0.000
6503.92	115.470	-1.995	64.55	39.33	45.014	0.000	24.38		0.36	0.000
6513.99	115.503	1.887	64.50	39.30	44.944	0.000	24.39		0.36	0.000
6524.07	115.571	1.202	64.39	39.24	45.027	0.000	24.39		0.36	0.000
6534.15	115.545	-1.971	64.43	39.26	44.997	0.000	24.39		0.36	0.000
6544.22	115.494	0.481	64.51	39.31	44.960	0.000	24.40		0.36	0.000
6554.27	115.562	1.995	64.41	39.25	44.923	0.000	24.40		0.36	0.000
6564.35	115.612	-1.995	64.33	39.20	45.032	0.000	24.40		0.36	0.000
6574.36	115.552	-0.685	64.42	39.26	44.976	0.000	24.40		0.36	0.000
6584.43	115.576	1.995	64.39	39.23	44.901	0.000	24.40		0.36	0.000
6594.51	115.653	-1.995	64.27	39.16	45.133	0.000	24.40		0.36	0.000
6604.57	115.577	-1.995	64.38	39.23	44.960	0.000	24.40		0.36	0.000
6614.62	115.659	1.995	64.26	39.16	44.931	0.000	24.40		0.36	0.000
6624.70	115.547	1.995	64.43	39.26	44.917	0.000	24.40		0.36	0.000
6634.76	115.622	1.995	64.32	39.19	44.894	0.000	24.40		0.36	0.000
6644.83	115.689	-1.995	64.22	39.13	45.139	0.000	24.40		0.36	0.000
6654.91	115.621	-1.995	64.32	39.19	44.971	0.000	24.41		0.36	0.000
6664.96	115.662	1.995	64.26	39.16	44.861	0.000	24.41		0.36	0.000
6675.00	115.747	-1.995	64.13	39.08	45.146	0.000	24.41		0.36	0.000
6685.06	115.708	-1.995	64.19	39.11	45.051	0.000	24.40		0.36	0.000
6695.14	115.689	1.995	64.22	39.13	44.877	0.000	24.41		0.36	0.000
6705.21	115.768	-1.995	64.10	39.06	45.156	0.000	24.41		0.36	0.000
6715.27	115.700	0.433	64.20	39.12	44.960	0.000	24.41		0.36	0.000
6725.33	115.767	1.995	64.10	39.06	44.995	0.000	24.41		0.36	0.000
6735.39	115.770	-1.995	64.10	39.06	45.110	0.000	24.41		0.36	0.000
6745.47	115.697	-0.192	64.21	39.12	44.942	0.000	24.41		0.36	0.000
6755.54	115.738	1.995	64.14	39.09	44.872	0.000	24.41		0.36	0.000
